Ticker,Cum_Buy_%,Total_Score,Momentum_Score,Price,Buy_5m_%,Buy_1h_%,Buy_6h_%,Buy_1d_%,Buy_3d_%,Short_Term,Medium_Term,Long_Term
SIXD,70.0,55.79,47.69,28.98,0.0,100.0,100.0,100.0,100.0,49.42,79.07,39.39
BBEM,89.96,65.59,47.63,70.1,98.37,85.44,86.86,86.86,86.86,66.45,98.57,36.19
FKU,65.55,50.19,47.6,53.41,85.95,55.94,57.28,57.28,57.28,56.92,96.41,5.53
TLTE,69.32,57.11,47.57,71.06,100.0,56.17,56.17,56.17,56.17,65.6,99.75,14.5
MTUM,69.4,67.78,47.54,263.95,100.0,62.81,53.04,52.78,51.61,71.96,85.74,49.46
KOMP,72.64,55.93,47.53,62.69,100.0,61.37,60.66,60.66,60.66,66.27,87.88,21.5
DSEP,76.46,57.07,47.52,45.09,71.99,78.93,78.06,78.06,78.06,48.6,82.63,40.0
CNXT,72.46,52.76,47.48,49.23,83.42,61.29,71.36,71.36,71.36,62.32,100.0,5.45
IYJ,74.34,61.44,47.41,155.87,100.0,47.68,72.04,72.04,72.04,62.34,91.04,34.97
KAPR,69.87,54.45,47.38,37.47,100.0,62.05,54.12,54.12,54.12,38.13,90.85,32.79
PSCJ,70.0,58.3,47.35,30.45,0.0,100.0,100.0,100.0,100.0,49.39,87.53,38.28
EAFG,100.0,60.67,47.31,24.98,100.0,100.0,100.0,100.0,100.0,57.53,94.64,32.91
IMAY,87.0,59.3,47.31,30.87,87.0,87.0,87.0,87.0,87.0,46.65,89.88,40.45
PSEP,67.33,60.89,47.29,44.15,85.61,64.5,56.72,56.72,56.72,49.05,86.75,45.66
RSEE,87.72,58.44,47.27,34.79,100.0,82.45,82.45,82.45,82.45,63.56,90.8,26.92
SOLR,100.0,50.29,47.19,32.83,100.0,100.0,100.0,100.0,100.0,62.04,92.39,6.11
DRLL,75.17,47.58,47.19,36.65,100.0,68.85,62.12,62.12,62.12,8.68,100.0,26.02
CQQQ,71.92,50.1,47.12,47.76,100.0,64.12,61.41,61.49,43.91,77.42,62.12,22.51
HEGD,69.1,56.36,47.09,25.18,100.0,47.9,60.27,60.27,60.27,47.94,82.56,38.71
EMGF,76.27,62.69,47.06,64.47,100.0,74.45,61.46,62.64,60.29,66.5,98.79,28.71
INKM,66.41,52.56,47.0,34.09,70.62,64.61,64.61,64.61,64.61,41.21,86.72,29.76
JPAN,72.43,63.45,46.95,38.87,81.6,68.5,68.5,68.5,68.5,64.15,96.22,34.34
QAI,68.84,56.27,46.89,34.96,100.0,60.78,52.54,52.54,52.54,40.62,85.87,40.15
VLLU,67.65,56.56,46.87,24.08,67.65,67.65,67.65,67.65,67.65,45.34,91.81,32.73
DDEC,66.43,59.24,46.82,45.24,87.22,57.52,57.52,57.52,57.52,48.42,86.25,42.37
UNOV,78.14,56.2,46.81,38.18,100.0,68.77,68.77,68.77,68.77,47.85,79.61,40.93
IAUG,70.54,58.56,46.8,29.26,84.16,64.7,64.7,64.7,64.7,46.12,88.15,40.45
MOO,75.86,49.5,46.7,85.33,100.0,51.69,78.93,73.14,58.91,36.71,100.0,13.3
RPV,65.99,59.78,46.66,108.08,100.0,72.94,37.17,37.36,47.23,44.37,97.12,36.75
OPTZ,76.53,57.63,46.65,39.31,88.09,71.57,71.57,71.57,71.57,60.88,95.04,22.86
EMCR,70.61,55.35,46.58,39.68,82.08,65.7,65.7,65.7,65.7,66.84,96.54,12.13
DJUN,69.39,58.3,46.55,47.98,78.58,65.45,65.45,65.45,65.45,49.97,85.56,39.66
JUNP,83.93,58.52,46.53,31.08,100.0,77.04,77.04,77.04,77.04,48.36,88.06,39.02
GEMD,68.94,49.83,46.45,42.07,91.97,59.07,59.07,59.07,59.07,47.65,81.31,23.66
IFLN,89.45,49.71,46.42,18.35,100.0,63.32,96.93,96.93,96.93,42.68,70.61,35.81
SIXZ,69.92,53.2,46.26,29.51,58.99,74.6,74.6,74.6,74.6,47.42,72.26,40.14
USEP,71.33,57.03,46.22,39.66,36.1,86.43,86.43,86.43,86.43,46.94,85.24,38.66
PYLD,79.94,71.61,46.21,26.47,100.0,58.82,81.91,81.19,66.42,65.24,71.77,75.45
ZIG,91.28,47.0,46.17,39.72,89.87,91.89,91.89,91.89,91.89,42.42,84.09,17.41
MFEM,78.1,57.15,46.16,26.32,81.67,80.79,74.22,74.22,74.22,63.45,100.0,15.73
RSJN,71.15,56.56,46.08,35.19,71.15,71.15,71.15,71.15,71.15,47.47,84.72,37.61
IDHQ,70.21,56.62,46.06,37.9,100.0,52.77,60.04,60.04,60.04,65.16,96.26,16.6
